concept_iid,term_code,pref_label,alt_labels,definition,status,created,modified,scope_note,related_ids,exact_match_ids,close_match_ids,replaced_by,source,note
aksdb:datacite_contributor_role/ProjectMember,ProjectMember,Project member,{team member},Person listed as a member of a designated project or project team.,accepted,1/1/26,1/1/26,"Does not necessarily indicate the quality, quantity, or substance of involvement.",,https://schema.datacite.org/meta/kernel-4.6/include/datacite-contributorType-v4.xsd,{https://credit.niso.org/contributor-roles/investigation/},,https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/contributorType/,{DataCite contributorType allowed value|Kernel 4.6 controlled list}
aksdb:datacite_contributor_role/RegistrationAgency,RegistrationAgency,Registration agency,{doi registration agency},Organization appointed by a Registration Authority to handle specific tasks within a defined responsibility area.,accepted,1/1/26,1/1/26,Example in DOI context: DataCite acting as a Registration Agency for the International DOI Foundation.,,https://schema.datacite.org/meta/kernel-4.6/include/datacite-contributorType-v4.xsd,,,https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/contributorType/,{DataCite contributorType allowed value|Kernel 4.6 controlled list}
aksdb:datacite_contributor_role/RegistrationAuthority,RegistrationAuthority,Registration authority,{standards body},Standards-setting body from which Registration Agencies obtain official recognition and guidance.,accepted,1/1/26,1/1/26,In DOI context: the International DOI Foundation serves as the Registration Authority for ISO in the DOI domain.,,https://schema.datacite.org/meta/kernel-4.6/include/datacite-contributorType-v4.xsd,,,https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/contributorType/,{DataCite contributorType allowed value|Kernel 4.6 controlled list}
aksdb:datacite_contributor_role/RelatedPerson,RelatedPerson,Related person,{acknowledged person},"Person without a specifically defined role in developing the resource, but recognized by the author(s).",accepted,1/1/26,1/1/26,May be an intellectual mentor or disciplinary leader the author wishes to acknowledge.,,https://schema.datacite.org/meta/kernel-4.6/include/datacite-contributorType-v4.xsd,,,https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/contributorType/,{DataCite contributorType allowed value|Kernel 4.6 controlled list}
aksdb:datacite_contributor_role/Researcher,Researcher,Researcher,{research assistant},Person involved in analyzing data or results of an experiment or formal study (may include interns/assistants).,accepted,1/1/26,1/1/26,Should be a person (not an institution). Data gathering is better captured by DataCollector.,,https://schema.datacite.org/meta/kernel-4.6/include/datacite-contributorType-v4.xsd,{https://credit.niso.org/contributor-roles/investigation/},,https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/contributorType/,{DataCite contributorType allowed value|Kernel 4.6 controlled list}
aksdb:datacite_contributor_role/ResearchGroup,ResearchGroup,Research group,{lab group},Group of individuals (lab/department/division) with a defined focus of activity.,accepted,1/1/26,1/1/26,May operate at narrower scope; may have different administrative responsibility than a project team.,,https://schema.datacite.org/meta/kernel-4.6/include/datacite-contributorType-v4.xsd,{https://credit.niso.org/contributor-roles/resources/},,https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/contributorType/,{DataCite contributorType allowed value|Kernel 4.6 controlled list}
aksdb:datacite_contributor_role/RightsHolder,RightsHolder,Rights holder,{copyright holder|ip owner},"Person or institution owning or managing property rights, including intellectual property rights, over the resource.",accepted,1/1/26,1/1/26,,,https://schema.datacite.org/meta/kernel-4.6/include/datacite-contributorType-v4.xsd,,,https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/contributorType/,{DataCite contributorType allowed value|Kernel 4.6 controlled list}
aksdb:datacite_contributor_role/Sponsor,Sponsor,Sponsor,{sponsoring organization|grant sponsor},"Person or organization that issued a contract or under whose auspices a work was written, published, or developed.",accepted,1/1/26,1/1/26,"Includes in-kind support (donations, people, facilities, instrumentation) necessary for development.",,https://schema.datacite.org/meta/kernel-4.6/include/datacite-contributorType-v4.xsd,{https://credit.niso.org/contributor-roles/funding-acquisition/},,https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/contributorType/,{DataCite contributorType allowed value|Kernel 4.6 controlled list}
aksdb:datacite_contributor_role/Supervisor,Supervisor,Supervisor,{advisor|mentor},"Designated administrator overseeing one or more groups/teams producing a resource, or one or more steps in a development process.",accepted,1/1/26,1/1/26,,,https://schema.datacite.org/meta/kernel-4.6/include/datacite-contributorType-v4.xsd,{https://credit.niso.org/contributor-roles/supervision/},,https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/contributorType/,{DataCite contributorType allowed value|Kernel 4.6 controlled list}
aksdb:datacite_contributor_role/WorkPackageLeader,WorkPackageLeader,Work package leader,{wp leader},"Person responsible for ensuring comprehensive contents, versioning, and availability of a work package during resource development.",accepted,1/1/26,1/1/26,A work package may include recognized data products plus supporting/discarded materials not all included in publication.,,https://schema.datacite.org/meta/kernel-4.6/include/datacite-contributorType-v4.xsd,{https://credit.niso.org/contributor-roles/project-administration/},,https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/contributorType/,{DataCite contributorType allowed value|Kernel 4.6 controlled list}
aksdb:datacite_contributor_role/Other,Other,Other,{miscellaneous|other role},Any significant contributor whose role is not adequately described by the other contributorType values.,accepted,1/1/26,1/1/26,"Can include roles such as photographer/artist/writer for promotion, reviewers, administrative support, etc.",,https://schema.datacite.org/meta/kernel-4.6/include/datacite-contributorType-v4.xsd,,,https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/contributorType/,{DataCite contributorType allowed value|Kernel 4.6 controlled list}
